,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
48,WORKING！！ - ワーキング！！（TVアニメ動画）,2010年春アニメ,4.0,https://img.anikore.jp/images/anime/4/5/8/1458/1458.jpg?width=122&height=122&type=crop,"北海道某所に存在するファミリーレストラン『ワグナリア』。
小鳥遊宗太が、ひょんなことでバイトすることになったこのお店は、個性的過ぎる店員ばかり働くファミレスだった。
そんな小鳥遊と店員達が元... ▼もっと読む"
49,バカとテストと召喚獣（TVアニメ動画）,2010年冬アニメ,3.8,https://img.anikore.jp/images/anime/4/2/1/1421/1421.jpg?width=122&height=122&type=crop,"科学と偶然とオカルトによって開発された「試験召喚システム」を試験的に採用し、学力低下が嘆かれる昨今に新風を巻き起こした文月学園。
振り分け試験の成績で厳しくクラス分けされるこの学園で自信満々に... ▼もっと読む"
50,WORKING'！！ [ワーキング]2期（TVアニメ動画）,2011年秋アニメ,4.0,https://img.anikore.jp/images/anime/2/6/9/3269/3269.jpg?width=122&height=122&type=crop,北海道某所にあるファミリーレストラン「ワグナリア」。あるきっかけで小鳥遊宗太はワグナリアでバイトとして勤務することになった。初日、意気込んでそのワグナリアに初出勤する宗太であったが、店長の白藤や... ▼もっと読む
51,生徒会役員共（TVアニメ動画）,2010年夏アニメ,3.7,https://img.anikore.jp/images/anime/4/8/0/1480/1480.jpg?width=122&height=122&type=crop,"舞台は、少子化の影響で女子高から共学となった私立桜才学園高等部。その男女比は28:524。
圧倒的な女子高生天国の中、津田タカトシはひょんなことから生徒会副会長に就任する。彼は作中登場キャラの... ▼もっと読む"
52,問題児たちが異世界から来るそうですよ？（TVアニメ動画）,2013年冬アニメ,3.6,https://img.anikore.jp/images/anime/9/4/5/3945/3945.jpg?width=122&height=122&type=crop,世界に飽きていた逆廻十六夜は届いた招待状を開けたことで“箱庭”と呼ばれる異世界に飛ばされてしまう。そこにいたのは、猫を連れた無口な少女・春日部耀と高飛車お嬢様の久遠飛鳥、そして彼らを呼んだ黒ウサ... ▼もっと読む
53,這いよれ！ニャル子さん（TVアニメ動画）,2012年春アニメ,3.7,https://img.anikore.jp/images/anime/7/0/0/3700/3700.jpg?width=122&height=122&type=crop,高校生、八坂真尋はある日、夜道で怪物に襲われるも突如現れた謎の少女に救われる。その少女は、自身がクトゥルー神話に登場するニャルラトホテプそのものであると語り、また自身が宇宙人であること、真尋が他... ▼もっと読む
54,咲-Saki-（TVアニメ動画）,2009年春アニメ,3.9,https://img.anikore.jp/51Kzw7de%2B-L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"宮永咲（みやながさき）は高校一年生。奇跡的な麻雀を打ってのける（毎局プラスマイナスゼロで和了（あが）ることができる）美少女。
原村和（はらむらのどか）の天才的な打ち方に感化され麻雀部に入部する... ▼もっと読む"
55,のんのんびより（TVアニメ動画）,2013年秋アニメ,4.1,https://img.anikore.jp/images/anime/6/2/0/7620/7620.jpg?width=122&height=122&type=crop,全校生徒が5人しかいない旭丘分校。自転車で20分かかる最寄りの本屋は、ジャ○プの発売が毎週水曜日だし、レンタルビデオ屋は十駅向こう。野菜は置き売りされているし、家の鍵に至っては見たことすらない。... ▼もっと読む
56,甘城ブリリアントパーク（TVアニメ動画）,2014年秋アニメ,3.8,https://img.anikore.jp/images/anime/0/3/2/8032/8032.jpg?width=122&height=122&type=crop,主人公・可児江西也は、転校してきた謎の美少女・千斗いすずから、いきなりマスケット銃を突きつけられ、デートの誘いを承諾させられた。いすずに連れられやってきた場所、そこはダメ遊園地として悪名高い甘城... ▼もっと読む
57,となりの怪物くん（TVアニメ動画）,2012年秋アニメ,3.8,https://img.anikore.jp/images/anime/7/7/0/3770/3770.jpg?width=122&height=122&type=crop,成績にしか興味のなかった冷血女子・水谷雫は、プリントを届けたことがきっかけで問題児・吉田春に気に入られてしまう。そして、それをきっかけに雫の人間関係が著しく変わっていく。 ▼もっと読む
