,TITLE,SEASON,REVIEW_RANK,IMAGE
118,涼宮ハルヒの憂鬱 第2期（TVアニメ動画）,2009年春アニメ,3.9,https://img.anikore.jp/51YXROh1jIL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
119,学園黙示録 HIGHSCHOOL OF THE DEAD（TVアニメ動画）,2010年夏アニメ,3.7,https://img.anikore.jp/51vcuBtVm6L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
120,Fate／Zero 2ndシーズン（TVアニメ動画）,2012年春アニメ,4.3,https://img.anikore.jp/images/anime/6/1/2/3612/3612.jpg?width=122&height=122&type=crop
121,まおゆう魔王勇者（TVアニメ動画）,2013年冬アニメ,3.7,https://img.anikore.jp/images/anime/8/8/5/3885/3885.jpg?width=122&height=122&type=crop
122,やはり俺の青春ラブコメはまちがっている。続（TVアニメ動画）,2015年春アニメ,4.0,https://img.anikore.jp/images/anime/3/9/3/8393/8393.jpg?width=122&height=122&type=crop
123,織田信奈の野望（TVアニメ動画）,2012年夏アニメ,3.9,https://img.anikore.jp/images/anime/7/4/5/3745/3745.jpg?width=122&height=122&type=crop
124,ノラガミ（TVアニメ動画）,2014年冬アニメ,3.9,https://img.anikore.jp/images/anime/7/3/9/7739/7739.jpg?width=122&height=122&type=crop
125,ダンジョンに出会いを求めるのは間違っているだろうか（TVアニメ動画）,2015年春アニメ,3.8,https://img.anikore.jp/images/anime/4/3/8/8438/8438.jpg?width=122&height=122&type=crop
126,ひぐらしのなく頃に解（TVアニメ動画）,2007年夏アニメ,4.0,https://img.anikore.jp/510LBWDD2yL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
127,たまこまーけっと（TVアニメ動画）,2013年冬アニメ,3.7,https://img.anikore.jp/images/anime/9/4/4/3944/3944.jpg?width=122&height=122&type=crop
128,ゴールデンタイム（TVアニメ動画）,2013年秋アニメ,3.7,https://img.anikore.jp/images/anime/6/3/3/7633/7633.jpg?width=122&height=122&type=crop
129,キルラキル（TVアニメ動画）,2013年秋アニメ,4.0,https://img.anikore.jp/images/anime/6/2/9/7629/7629.jpg?width=122&height=122&type=crop
130,この素晴らしい世界に祝福を！（TVアニメ動画）,2016年冬アニメ,3.9,https://img.anikore.jp/images/anime/7/2/9/9729/9729.jpg?width=122&height=122&type=crop
131,ログ・ホライズン（TVアニメ動画）,2013年秋アニメ,3.8,https://img.anikore.jp/images/anime/6/3/0/7630/7630.jpg?width=122&height=122&type=crop
132,監獄学園 - プリズン スクール -（TVアニメ動画）,2015年夏アニメ,4.0,https://img.anikore.jp/images/anime/0/8/6/9086/9086.jpg?width=122&height=122&type=crop
133,君に届け 2ND SEASON（TVアニメ動画）,2011年冬アニメ,4.0,https://img.anikore.jp/51pZipbIf7L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
134,ARIA The ANIMATION-アリアジアニメーション（TVアニメ動画）,2005年秋アニメ,4.1,https://img.anikore.jp/images/anime/8/0/1/801/801.jpg?width=122&height=122&type=crop
135,がっこうぐらし！（TVアニメ動画）,2015年夏アニメ,3.7,https://img.anikore.jp/images/anime/1/8/5/8185/8185.jpg?width=122&height=122&type=crop
136,甲鉄城のカバネリ（TVアニメ動画）,2016年春アニメ,3.7,https://img.anikore.jp/images/anime/6/5/5/8655/8655.jpg?width=122&height=122&type=crop
137,有頂天家族（TVアニメ動画）,2013年夏アニメ,3.9,https://img.anikore.jp/images/anime/5/5/8/7558/7558.jpg?width=122&height=122&type=crop
138,WORKING！！！ [ワーキング]3期（TVアニメ動画）,2015年夏アニメ,3.9,https://img.anikore.jp/images/anime/8/6/5/8865/8865.jpg?width=122&height=122&type=crop
139,シドニアの騎士（TVアニメ動画）,2014年春アニメ,3.9,https://img.anikore.jp/images/anime/8/4/7/7847/7847.jpg?width=122&height=122&type=crop
140,灰羽連盟（TVアニメ動画）,2002年秋アニメ,3.8,https://img.anikore.jp/51f%2BqncWuxL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
141,バクマン。（TVアニメ動画）,2010年秋アニメ,3.9,https://img.anikore.jp/51d2yrjVz7L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
142,寄生獣 セイの格率（TVアニメ動画）,2014年秋アニメ,3.8,https://img.anikore.jp/images/anime/9/8/3/7983/7983.jpg?width=122&height=122&type=crop
143,Phantom ～Requiem for the Phantom～（TVアニメ動画）,2009年春アニメ,3.8,https://img.anikore.jp/images/anime/3/1/0/1310/1310.jpg?width=122&height=122&type=crop
144,鬼灯の冷徹（TVアニメ動画）,2014年冬アニメ,3.8,https://img.anikore.jp/images/anime/7/3/7/7737/7737.jpg?width=122&height=122&type=crop
145,それでも世界は美しい（TVアニメ動画）,2014年春アニメ,3.8,https://img.anikore.jp/images/anime/8/6/5/7865/7865.jpg?width=122&height=122&type=crop
146,精霊の守り人（TVアニメ動画）,2007年春アニメ,4.1,https://img.anikore.jp/51%2B4sqEYKHL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
147,フルメタル・パニック！ The Second Raid（TVアニメ動画）,2005年夏アニメ,3.9,https://img.anikore.jp/51lEbYZEQmL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
148,六花の勇者（TVアニメ動画）,2015年夏アニメ,3.6,https://img.anikore.jp/images/anime/8/1/8/8818/8818.jpg?width=122&height=122&type=crop
149,LAST EXILE ラストエグザイル（TVアニメ動画）,2003年春アニメ,3.9,https://img.anikore.jp/images/anime/5/3/4/534/534.jpg?width=122&height=122&type=crop
150,俺物語！！（TVアニメ動画）,2015年春アニメ,3.8,https://img.anikore.jp/images/anime/7/3/0/8730/8730.jpg?width=122&height=122&type=crop
151,バジリスク～甲賀忍法帖（TVアニメ動画）,2005年春アニメ,4.0,https://img.anikore.jp/51CZ64PXA9L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
152,ログ・ホライズン 第2シリーズ（TVアニメ動画）,2014年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/3/7/8237/8237.jpg?width=122&height=122&type=crop
153,ReLIFE（TVアニメ動画）,2016年夏アニメ,3.8,https://img.anikore.jp/images/anime/1/5/5/9155/9155.jpg?width=122&height=122&type=crop
154,クロスアンジュ 天使と竜の輪舞（TVアニメ動画）,2014年秋アニメ,3.8,https://img.anikore.jp/images/anime/2/2/2/8222/8222.jpg?width=122&height=122&type=crop
155,D.Gray-man[ディーグレイマン]（TVアニメ動画）,2006年秋アニメ,3.9,https://img.anikore.jp/51T4Gc3cl2L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
156,ふらいんぐうぃっち（TVアニメ動画）,2016年春アニメ,3.7,https://img.anikore.jp/images/anime/0/7/4/10074/10074.jpg?width=122&height=122&type=crop
157,ARIA The NATURAL[アリアザナチュラル]（TVアニメ動画）,2006年春アニメ,4.2,https://img.anikore.jp/images/anime/8/5/3/853/853.jpg?width=122&height=122&type=crop
158,政宗くんのリベンジ（TVアニメ動画）,2017年冬アニメ,3.5,https://img.anikore.jp/images/anime/7/6/5/10765/10765.jpg?width=122&height=122&type=crop
159,LEVEL E [レベルイー]（TVアニメ動画）,2011年冬アニメ,3.7,https://img.anikore.jp/images/anime/4/1/3/2413/2413.jpg?width=122&height=122&type=crop
160,暁のヨナ（TVアニメ動画）,2014年秋アニメ,3.9,https://img.anikore.jp/images/anime/0/7/7/8077/8077.jpg?width=122&height=122&type=crop
161,つり球（TVアニメ動画）,2012年春アニメ,3.7,https://img.anikore.jp/images/anime/6/3/3/3633/3633.jpg?width=122&height=122&type=crop
162,モノノ怪（TVアニメ動画）,2007年夏アニメ,4.0,https://img.anikore.jp/61qvOa49KdL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
