,TITLE,SEASON,REVIEW_RANK,IMAGE
119,夏目友人帳 肆（TVアニメ動画）,2012年冬アニメ,4.1,https://img.anikore.jp/images/anime/4/5/7/3457/3457.jpg?width=122&height=122&type=crop
120,THE IDOLM@STER [アイドルマスター]（TVアニメ動画）,2011年夏アニメ,4.1,https://img.anikore.jp/images/anime/9/7/4/2974/2974.jpg?width=122&height=122&type=crop
121,花物語（TVアニメ動画）,2014年夏アニメ,3.9,https://img.anikore.jp/images/anime/9/1/6/7916/7916.jpg?width=122&height=122&type=crop
122,輪るピングドラム（TVアニメ動画）,2011年夏アニメ,3.8,https://img.anikore.jp/images/anime/2/1/8/3218/3218.jpg?width=122&height=122&type=crop
123,ラブライブ！ School idol project(第2期)（TVアニメ動画）,2014年春アニメ,4.0,https://img.anikore.jp/images/anime/6/9/6/7696/7696.jpg?width=122&height=122&type=crop
124,生徒会役員共＊（第2期）（TVアニメ動画）,2014年冬アニメ,3.8,https://img.anikore.jp/images/anime/7/6/3/7763/7763.jpg?width=122&height=122&type=crop
125,ROBOTICS;NOTES [ロボティクスノーツ]（TVアニメ動画）,2012年秋アニメ,3.6,https://img.anikore.jp/images/anime/7/0/8/3708/3708.jpg?width=122&height=122&type=crop
126,K（TVアニメ動画）,2012年秋アニメ,3.7,https://img.anikore.jp/images/anime/7/8/5/3785/3785.jpg?width=122&height=122&type=crop
127,ハイキュー！！（TVアニメ動画）,2014年春アニメ,4.0,https://img.anikore.jp/images/anime/7/6/4/7764/7764.jpg?width=122&height=122&type=crop
128,貧乏神が！（TVアニメ動画）,2012年夏アニメ,3.7,https://img.anikore.jp/images/anime/7/4/2/3742/3742.jpg?width=122&height=122&type=crop
129,灰羽連盟（TVアニメ動画）,2002年秋アニメ,3.8,https://img.anikore.jp/51f%2BqncWuxL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
130,バクマン。（TVアニメ動画）,2010年秋アニメ,3.9,https://img.anikore.jp/51d2yrjVz7L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
131,ささみさん＠がんばらない（TVアニメ動画）,2013年冬アニメ,3.6,https://img.anikore.jp/images/anime/9/2/2/3922/3922.jpg?width=122&height=122&type=crop
132,落第騎士の英雄譚（キャバルリィ）（TVアニメ動画）,2015年秋アニメ,3.6,https://img.anikore.jp/images/anime/3/1/4/9314/9314.jpg?width=122&height=122&type=crop
133,魔法少女リリカルなのは（TVアニメ動画）,2004年秋アニメ,3.8,https://img.anikore.jp/514Y1ZC2M7L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
